elevation (ft),volume (mg),fraction full
520.41,339734.0,0.8241
520.43,339882.0,0.8245
520.53,340622.0,0.8263
520.56,340844.0,0.8268
520.6,341140.0,0.8275
520.65,341510.0,0.8284
520.73,342102.0,0.8299
520.79,342546.0,0.8309
520.86,343064.0,0.8322
520.88,343212.0,0.8326
520.96,343804.0,0.834
521.0,344100.0,0.8347
521.03,344325.0,0.8353
521.03,344325.0,0.8353
521.02,344250.0,0.8351
521.02,344250.0,0.8351
521.06,344550.0,0.8358
521.08,344700.0,0.8362
521.07,344625.0,0.836
521.05,344475.0,0.8356
521.04,344400.0,0.8354
521.04,344400.0,0.8354
521.03,344325.0,0.8353
521.07,344625.0,0.836
521.08,344700.0,0.8362
521.1,344850.0,0.8365
521.09,344775.0,0.8363
521.09,344775.0,0.8363
521.08,344700.0,0.8362
521.06,344550.0,0.8358
521.05,344475.0,0.8356
521.05,344475.0,0.8356
521.08,344700.0,0.8362
521.06,344550.0,0.8358
521.06,344550.0,0.8358
521.1,344850.0,0.8365
521.12,345000.0,0.8369
521.16,345300.0,0.8376
521.22,345750.0,0.8387
521.25,345975.0,0.8393
521.31,346425.0,0.8403
521.33,346575.0,0.8407
521.34,346650.0,0.8409
521.35,346725.0,0.8411
521.37,346875.0,0.8414
521.36,346800.0,0.8413
521.35,346725.0,0.8411
521.33,346575.0,0.8407
521.33,346575.0,0.8407
521.37,346875.0,0.8414
521.56,348300.0,0.8449
521.68,349200.0,0.8471
521.68,349200.0,0.8471
521.83,350325.0,0.8498
521.95,351225.0,0.852
522.05,351975.0,0.8538
522.13,352575.0,0.8553
522.16,352800.0,0.8558
522.18,352950.0,0.8562
522.22,353250.0,0.8569
522.25,353475.0,0.8574
522.27,353625.0,0.8578
522.28,353700.0,0.858
522.29,353775.0,0.8582
522.3,353850.0,0.8584
522.33,354075.0,0.8589
522.33,354075.0,0.8589
522.33,354075.0,0.8589
522.38,354450.0,0.8598
522.41,354675.0,0.8604
522.41,354675.0,0.8604
522.39,354525.0,0.86
522.35,354225.0,0.8593
522.47,355125.0,0.8615
522.64,356925.0,0.8658
522.71,357450.0,0.8671
522.74,357675.0,0.8676
522.8,358125.0,0.8687
522.79,358050.0,0.8685
522.83,358350.0,0.8693
522.84,358425.0,0.8695
522.81,358200.0,0.8689
522.84,358425.0,0.8695
522.8,358125.0,0.8687
522.81,358200.0,0.8689
522.81,358200.0,0.8689
522.8,358125.0,0.8687
522.79,358050.0,0.8685
522.74,357675.0,0.8676
522.72,357525.0,0.8673
522.72,357525.0,0.8673
522.72,357525.0,0.8673
522.67,357150.0,0.8664
522.62,356250.0,0.8642
522.6,356100.0,0.8638
522.62,356250.0,0.8642
522.61,356175.0,0.864
522.56,355800.0,0.8631
522.52,355500.0,0.8624
522.5,355350.0,0.862
522.48,355200.0,0.8616
522.45,354975.0,0.8611
522.42,354750.0,0.8605
522.36,354300.0,0.8595
522.32,354000.0,0.8587
522.28,353700.0,0.858
522.23,353325.0,0.8571
522.23,353325.0,0.8571
522.18,352950.0,0.8562
522.11,352425.0,0.8549
522.04,351900.0,0.8536
521.99,351525.0,0.8527
521.93,351075.0,0.8516
521.9,350850.0,0.8511
521.82,350250.0,0.8496
521.75,349725.0,0.8484
521.79,350025.0,0.8491
521.76,349800.0,0.8485
521.69,349275.0,0.8473
521.63,348825.0,0.8462
521.58,348450.0,0.8453
521.69,349275.0,0.8473
521.6,348600.0,0.8456
521.55,348225.0,0.8447
521.45,347475.0,0.8429
521.4,347100.0,0.842
521.39,347025.0,0.8418
521.32,346500.0,0.8405
521.26,346050.0,0.8394
